plot,old_plotID,date,crew,treeNum,species,dOut_m,dSideR_m,dSideL_m,DBH_cm,height_m,percentLive,damageCodes,notes
0,NA,9/16/2023,MDM_EMS_EAS,1,CADE,2.2,NA,-4.35,90.2,22.4,97,NA,"FS 3.4m, flaglets"
0,NA,9/16/2023,MDM_EMS_EAS,2,ABCO,4.8,3.21,NA,60.9,23.5,99,NA,"flaglets, FS 2m"
0,NA,9/16/2023,MDM_EMS_EAS,3,CADE,7.5,NA,-2.5,14.3,6.3,0,Btop_SD,"Btop, SD, FS 2m"
0,NA,9/16/2023,MDM_EMS_EAS,4,ABCO,7.7,NA,-3.08,59.4,6.5,0,SD_Btop,"SD, Btop FS 2m"
0,NA,9/16/2023,MDM_EMS_EAS,5,CADE,7.6,NA,-3.9,24.7,6.3,0,SD_Btop,"SD, Btop, FS 3m "
0,NA,9/16/2023,MDM_EMS_EAS,6,CADE,7.6,NA,-3.91,28.9,9.6,0,SD_Btop,"SD, some needles left, Btop, FS 4m"
0,NA,9/16/2023,MDM_EMS_EAS,7,CADE,8.7,NA,-1.88,39.9,6.3,0,SD_Btop,"FS, crook, SD, Btop, FS 3.5m"
0,NA,9/16/2023,MDM_EMS_EAS,8,CADE,10.2,NA,-2.51,18.7,6.1,0,SD_lean,"SD, lean, FS 2m"
0,NA,9/16/2023,MDM_EMS_EAS,9,PIPO,14.3,NA,-2.2,55.6,28.5,99,mech,"DEPO exit holes, mech, fs 1m, flaglets"
0,NA,9/16/2023,MDM_EMS_EAS,10,CADE,17.8,NA,-4.14,56,16.9,98,Btop,"FS 4m, Btop, flaglets"
0,NA,9/16/2023,MDM_EMS_EAS,11,CADE,17.8,2.24,NA,10.3,4.4,97,NA,"FS 3m, flaglets"
0,NA,9/16/2023,MDM_EMS_EAS,12,CADE,22.6,4.1,NA,52.4,23.4,99,NA,"joined at base w/ tree 12 below DBH, exit holes"
0,NA,9/16/2023,MDM_EMS_EAS,13,CADE,22.8,4.1,NA,29,19.9,98,NA,"FS 1m, exit holes, flaglets"
0,NA,9/16/2023,MDM_EMS_EAS,14,PIPO,26.3,3.75,NA,73.9,37.9,99,NA,"healthy, FS 1m"
0,NA,9/16/2023,MDM_EMS_EAS,15,CADE,27.3,0.05,NA,14.3,6.1,0,SD_lean,"SD, FS 1m, lean"
0,NA,9/16/2023,MDM_EMS_EAS,16,ABCO,27.2,NA,-0.08,50.6,16.4,0,SD_lean,"SD, lean, FS 3m"
0,NA,9/16/2023,MDM_EMS_EAS,17,CADE,27.9,4.36,NA,43.8,16.1,99,NA,"FS 2m, flaglets, sparse"
0,NA,9/16/2023,MDM_EMS_EAS,18,CADE,24.4,1.6,NA,19.1,14.2,0,SD_lean_Btop,"SD, lean, FS 1m, Btop"
0,NA,9/16/2023,MDM_EMS_EAS,19,ABCO,28.5,1.6,NA,41.5,4.4,0,mech_SD_Btop,"mech, EH, FS 1m, SD,Btop"
0,NA,9/16/2023,MDM_EMS_EAS,20,ABCO,34.3,NA,-3.4,55.3,3.1,0,SD,"WB, SD, broken, FS 2m, bark falling off"
0,NA,9/16/2023,MDM_EMS_EAS,21,ABCO,34.6,NA,-3,27.6,1.9,0,SD,"SD, broke, WB, FS 1.9m"
0,NA,9/16/2023,MDM_EMS_EAS,22,ABCO,35.6,NA,-3.45,45.3,3,0,SD,"SD, broke, WB, WP, FS 3m"
0,NA,9/16/2023,MDM_EMS_EAS,23,ABCO,35.8,NA,-4.6,37.5,2.7,0,SD,"SD, broke, WB, FS 2.7m"
0,NA,9/16/2023,MDM_EMS_EAS,24,ABCO,41.3,NA,-4.8,19.6,2.2,0,SD,"SD, broke, FS 2.2m"
0,NA,9/16/2023,MDM_EMS_EAS,25,ABCO,41.5,NA,-4.3,19.4,4.3,0,SD,"SD, broke, FS 4.3m"
0,NA,9/16/2023,MDM_EMS_EAS,26,ABCO,45.9,2.87,NA,9.7,2.1,99,NA,"growing out of rock, brown needles"